id;date;details;status;payment_method;payment_date;payment_amount
1;2021-04-23T03:36:59;RAM systemic;PAID;CASH_ON_DELIVERY;2021-04-23T08:02:54;5801
2;2021-04-22T21:51:10;Idaho calculating model;ISSUED;CREDIT_CARD;2021-04-23T00:06:07;75071
3;2021-04-22T20:37:08;program SQL;CANCELLED;CREDIT_CARD;2021-04-22T19:16:32;79944
4;2021-04-23T07:31:15;Soft Central;PAID;CASH_ON_DELIVERY;2021-04-23T04:46:56;8068
5;2021-04-23T11:38:07;Bhutanese;CANCELLED;PAYPAL;2021-04-23T13:27:40;87472
6;2021-04-23T00:14:35;Engineer Shirt Court;CANCELLED;PAYPAL;2021-04-23T15:59:02;62834
7;2021-04-23T11:46:57;program transmitting parse;PAID;CREDIT_CARD;2021-04-23T02:47:15;38509
8;2021-04-23T02:28:33;Dynamic iterate;PAID;CREDIT_CARD;2021-04-22T22:45:21;6085
9;2021-04-22T19:22:16;black Maine;PAID;CREDIT_CARD;2021-04-22T22:04:21;11254
10;2021-04-23T08:37:37;Lead Well;CANCELLED;PAYPAL;2021-04-22T21:54:45;85804
