id;place_date;status;code
1;2021-04-23T11:00:57;COMPLETED;Electronics
2;2021-04-23T05:22:56;COMPLETED;payment PCI violet
3;2021-04-23T15:51:49;CANCELLED;background out-of-the-box withdrawal
4;2021-04-22T19:54:50;COMPLETED;Music real-time
5;2021-04-23T03:58:59;CANCELLED;Hat
6;2021-04-23T16:43:47;PENDING;solid navigating
7;2021-04-23T02:39:33;PENDING;Toys maroon
8;2021-04-23T15:29:07;COMPLETED;Developer
9;2021-04-22T22:57:31;COMPLETED;Credit Soft Cotton
10;2021-04-23T13:40:07;CANCELLED;contingency Bedfordshire
